Fred Steiner	3eaf26fa-7503-46e9-aeb0-63385598e1aa	1923/2/24	2011/6/23	Person	United States	Male	null	null	null
Joe Henderson	bcab8301-c7e5-4689-a4ad-9ee947b4ce37	1937/4/24	2001/6/30	Person	United States	Male	US jazz tenor saxophonist	null	null
Lou Bega	64f9c914-74a0-4f6b-8589-6261851b0ab9	1975/4/13	null/null/null	Person	Germany	Male	null	60	1
Chris Clark	5d0c202c-e30f-40c4-abf5-c0007af0d1cc	null/null/null	null/null/null	Person	United Kingdom	Male	of Warp Records	100	2
Bill Monroe	2a2be593-6984-4640-8cf1-717ec7a6e18b	1911/9/13	1996/9/9	Person	United States	Male	null	null	null
信	2bc9d3fe-d70d-4835-b8fd-241b964b87c2	1971/5/14	null/null/null	Person	Taiwan	Male	null	null	null
Gary Farr	11ab9847-b509-4091-a023-f615b7eeffa1	null/null/null	1994/8/null	Person	United Kingdom	Male	null	null	null
Ernst Jandl	005dd8c0-1c1c-4ed2-8963-4249449f5901	1925/8/1	2000/6/9	Person	Austria	Male	null	null	null
Sevara Nazarxon	6d436381-72ef-4933-b599-5e8bf7d35406	null/null/null	null/null/null	Person	Uzbekistan	Female	null	null	null
Mystified	0c631402-23c8-4ca0-bfd9-de04ad25a50a	null/null/null	null/null/null	Person	United States	Male	null	null	null
Adrian Rollini	f560eccb-fa98-46a8-9290-93ff6f89b16c	1903/6/28	1956/5/15	Person	United States	Male	null	null	null
Patricia Maertens	e53324c3-bc3f-4df9-bf61-7abf1fdbdfd9	null/null/null	null/null/null	Person	United States	Female	null	null	null
Gorge	f1209420-3beb-4bba-a161-981cea942a95	null/null/null	null/null/null	Person	Germany	Male	null	80	1
Tim Wright	4140874b-0b37-4ac8-8aed-d89af4c12775	null/null/null	null/null/null	Person	United Kingdom	Male	Electronica/Techno producer	null	null
Lynn Hilary	01330c28-e2f2-4201-996e-45763379cead	null/null/null	null/null/null	Person	Ireland	Female	null	null	null
Eric Dolphy	badda5cf-f2c5-4dc2-b3d3-07467bdf0f71	1928/6/20	1964/6/29	Person	United States	Male	null	null	null
石井里佳	78a78a7a-38cd-4174-ad50-6c5c40581768	1980/2/26	null/null/null	Person	Japan	Female	null	null	null
Babbu Maan	f3c5b7de-3574-49da-ab5c-4b827789e770	1975/3/18	null/null/null	Person	India	Male	null	100	1
Johnny Mathis	48896dee-a985-424d-9849-84802f7e79c9	1935/9/30	null/null/null	Person	United States	Male	null	80	1
Dota Kehr	dbbde310-7e5a-485a-9a29-8e84a19b7a8f	1979/9/14	null/null/null	Person	Germany	Female	null	null	null
Mark Wood	cd4412c6-1fb4-4442-9b2b-1cec152945e3	null/null/null	null/null/null	Person	United States	Male	null	null	null
Michael Holliday	6db5facc-418b-452d-ae0a-3211bc8d64d4	1924/11/26	1963/10/29	Person	United Kingdom	Male	null	null	null
Helmut Lotti	ed0d833d-8a7d-4475-afa5-58ed5b49c316	1969/10/22	null/null/null	Person	Belgium	Male	null	null	null
JES	9ef7078c-fcf1-4562-afe0-0b3b04d6a50a	null/null/null	null/null/null	Person	United States	Female	Trance	null	null
Dodo Marmarosa	fddce5c2-314e-4ae2-9a22-2886bdcc4615	1925/12/12	2002/9/17	Person	United States	Male	null	null	null
मुकेश	bc396309-3a20-4520-9431-1444142d1051	1923/7/23	1976/8/27	Person	India	Male	null	null	null
David Thrussell	ded493f8-d1d9-4e39-b9b2-a89a8419fe0d	null/null/null	null/null/null	Person	Australia	Male	null	null	null
Kerkko Koskinen	418f155b-de7b-47cc-90e8-b1da3bd27ddf	1973/1/7	null/null/null	Person	Finland	Male	null	null	null
Gaby Albrecht	7fb28fb2-f901-4840-af2e-b5c486824eb1	1956/11/1	null/null/null	Person	Germany	Female	null	null	null
Zbigniew Hołdys	b6f4cd81-1edd-444e-b3cb-819e8f963aa7	1951/12/19	null/null/null	Person	Poland	Male	null	null	null
Roger Williams	878fb667-b443-4ddf-b7dc-130824b736aa	1924/10/1	2011/10/8	Person	United States	Male	US pop standards pianist	null	null
DJ Pooh	200bcb3c-6339-41a7-9a2d-b5ec3c9b259b	null/null/null	null/null/null	Person	United States	Male	null	null	null
Big Bill Broonzy	05bc49f8-3108-44c8-82b9-ac3254896a69	1898/6/26	1958/8/15	Person	United States	Male	null	null	null
Philippe Cataldo	61d071d3-b920-40fc-a04b-8f4e3f05aff6	1954/8/24	null/null/null	Person	France	Male	null	null	null
八代亜紀	694ba29c-5b5f-46ae-ba19-0ad3b3c5b24f	1950/8/29	null/null/null	Person	Japan	Female	null	80	1
Richard Brown	fad8b40e-71df-4d70-aa51-5f295ba31d78	null/null/null	null/null/null	Person	United Kingdom	Male	UK techno producer	null	null
Adrian Belew	73c3f499-60e2-44e1-81dd-7fe2191461fa	1949/12/23	null/null/null	Person	United States	Male	null	null	null
Elvin Bishop	b1768592-294e-4e15-a892-eb8837dec3e4	1942/10/21	null/null/null	Person	United States	Male	null	null	null
Vincent Ségal	e6af0dec-8d2b-47b1-b2fe-6b490f4745d5	1967/null/null	null/null/null	Person	France	Male	null	null	null
Phillip Boa	addd2886-3e4d-46be-a598-d3fa5e27fbed	1963/1/18	null/null/null	Person	Germany	Male	null	null	null
Norman Gimbel	4b68c65a-8cb5-4c03-bb58-c1b1cf5eced1	1927/11/16	null/null/null	Person	United States	Male	null	null	null
Lalah Hathaway	3f0f4358-4c48-4bce-be34-acf61d24df0b	1968/12/16	null/null/null	Person	United States	Female	null	null	null
Kevin Brown	cd85a44f-3aee-49df-851f-e634be7a3c53	null/null/null	null/null/null	Person	United Kingdom	Male	British slide guitarist	null	null
Mike Cooper	ba4a8208-cb9e-48e3-a662-ec447fb65cad	1942/8/24	null/null/null	Person	Italy	Male	null	null	null
Chris Bell	db6ac2f7-5bbb-4ed4-88f4-540d5b29542a	1951/1/12	1978/12/27	Person	United States	Male	singer/songwriter/guitarist (Big Star)	100	1
H-Man	c39c260f-306c-4460-b995-33d4dc24671a	null/null/null	null/null/null	Person	Germany	Male	German techno producer Oliver Huntemann	null	null
Dany Dan	9a8b9d3d-f5f1-46c2-8f1a-ad1f7783e62c	null/null/null	null/null/null	Person	France	Male	null	null	null
.tape.	d5deedb1-3ef8-4780-9fc8-5d439194244e	null/null/null	null/null/null	Person	Spain	Male	null	null	null
Lil Green	804283e2-1793-4f7d-8619-459b84b77376	1919/12/22	1954/4/14	Person	United States	Female	blues singer/songwriter	null	null
Eero Raittinen	74c5599a-b3e6-4326-8636-715a5912b736	1944/10/6	null/null/null	Person	Finland	Male	null	null	null
Dhafer Youssef	e193397d-a888-4b4d-b11d-2a602c24b023	1967/null/null	null/null/null	Person	Tunisia	Male	null	null	null
Hotel De Prusse	d3cf455d-8478-4f7b-a675-4f24a18768b7	null/null/null	null/null/null	Person	Poland	Male	null	null	null
Youssoupha	6fabf3aa-1822-49f2-b6c7-57560464696f	1979/8/20	null/null/null	Person	France	Male	null	null	null
Henrique Cazes	7b7e3aec-99b2-404d-88dc-cf4eecc3d221	1959/2/2	null/null/null	Person	Brazil	Male	null	null	null
Stephen Sondheim	bcd6af9f-afa8-43fd-b1be-acbbbb2f7dc7	1930/3/22	null/null/null	Person	United States	Male	null	90	2
Carmen Rasmusen	f68616a5-4c50-4547-b2bb-6b719ff9d5f8	1985/3/25	null/null/null	Person	Canada	Female	null	null	null
Philippe Zdar	4c1b675d-08d2-474b-abf8-8684b1168080	null/null/null	null/null/null	Person	France	Male	null	null	null
JC Chasez	40316898-fbcf-477e-b019-ccbafd710f46	1976/8/8	null/null/null	Person	United States	Male	null	null	null
Flo Rida	4593d49a-7f67-46ba-9ec0-126bd676286f	1979/9/17	null/null/null	Person	United States	Male	US rapper Tramar Dillard	70	2
Amanda Ghost	c6965869-16d4-4c91-b059-46f6aa8ccfa0	null/null/null	null/null/null	Person	United Kingdom	Female	null	null	null
Cleo Laine	51394536-9baa-4e6e-9db6-0b6137c111e0	1927/10/28	null/null/null	Person	United Kingdom	Female	null	null	null
Borut Kržišnik	b0a5edf4-0575-4cd1-baf2-b5e98784369e	null/null/null	null/null/null	Person	Yugoslavia (historical, 1918-2003)	Male	null	null	null
Mark Morrison	1ecc1f71-2512-442a-a85e-3c79d9ddc5cc	1972/5/3	null/null/null	Person	United Kingdom	Male	r&b vocalist	null	null
Daniele Vit	b62cd3c1-2fcd-4887-96a1-802ce0cfe76e	1978/3/31	null/null/null	Person	Italy	Male	null	null	null
휘성	17b33b34-a40b-4348-addd-fd806af9b37e	1982/2/5	null/null/null	Person	Korea (South), Republic of	Male	null	100	1
